"NUM","TIME","FUNDACAO","ESTADO"," TOTVIT","TOTGOLCASA","TOTGOLFORA","TITULOS","TARGET"
1,"América-MG","30/04/1912","MG",25,68,36,0,"8.78"
2,"América-RN","14/04/1915","RN",4,12,17,0,"2.36"
3,"Athlético-PR","26/03/1924","PR",266,557,339,0,"81.57"
4,"Atlético-GO","02/04/1937","GO",51,119,97,0,"18.81"
5,"Atlético-MG","25/03/1908","MG",267,582,385,0,"86.60"
6,"Avaí","01/09/1923","SC",57,147,93,0,"20.49"
7,"Bahia","01/01/1931","BA",104,228,160,0,"34.60"
8,"Barueri","01/01/1998","SP",12,35,24,0,"4.87"
9,"Botafogo-RJ","12/08/0190","RJ",213,480,296,0,"68.98"
10,"Bragantino","08/01/1928","SP",13,34,16,0,"4.28"
11,"Brasiliense","01/08/2000","DF",10,26,23,0,"4.14"
12,"CSA","07/09/1913","AL",8,17,7,0,"2.21"
13,"Ceará","02/06/1914","CE",54,116,88,0,"18.24"
14,"Chapecoense","10/05/1973","SC",69,136,98,0,"21.54"
15,"Corinthians","01/09/1910","SP",281,510,358,4,"82.28"
16,"Coritiba","12/10/1909","PR",169,362,251,0,"55.08"
17,"Criciúma","13/05/1947","SC",50,121,73,0,"16.89"
18,"Cruzeiro","02/01/1921","MG",293,596,388,3,"90.17"
19,"Figueirense","12/06/1921","RS",142,311,219,0,"47.27"
20,"Flamengo","17/11/0186","RJ",296,584,400,3,"90.83"
21,"Fluminense","21/07/1902","RJ",270,531,415,2,"86.77"
22,"Fortaleza","18/10/1918","CE",61,154,85,0,"20.60"
23,"Goiás","06/04/1943","GO",189,439,274,0,"62.77"
24,"Grêmio","15/09/1903","RS",283,577,335,0,"83.95"
25,"GrêmioPrudente","01/12/2005","SP",7,25,14,0,"3.07"
26,"Guarani","02/04/1911","SP",36,83,57,0,"12.31"
27,"Internacional","04/04/1909","RS",292,536,357,0,"84.56"
28,"Ipatinga","21/05/1998","MG",9,28,9,0,"3.02"
29,"Joinville","29/01/1976","SC",7,19,7,0,"2.21"
30,"Juventude","29/06/1913","RS",71,157,111,0,"23.83"
31,"Náutico","07/04/1901","PE",54,131,93,0,"19.39"
32,"Palmeiras","26/08/1914","SP",266,534,355,2,"81.72"
33,"Paraná","19/12/1989","PR",83,186,126,0,"27.68"
34,"Paysandu","02/02/1914","PA",41,132,61,0,"15.58"
35,"PontePreta","11/08/1900","SP",114,256,158,0,"36.84"
36,"Portuguesa","14/08/1920","SP",31,90,47,0,"11.36"
37,"SantaCruz","03/02/1914","PE",15,50,36,0,"6.88"
38,"SantoAndré","18/09/1967","SP",11,29,17,0,"3.91"
39,"Santos","14/04/1912","SP",305,653,407,1,"95.72"
40,"Sport","13/05/1905","PE",122,278,161,0,"38.98"
41,"SãoCaetano","04/12/1989","SP",65,120,89,0,"19.62"
42,"SãoPaulo","15/01/1930","SP",327,606,431,3,"97.51"
43,"Vasco","21/08/1898","RJ",196,437,310,0,"66.25"
44,"Vitória","13/05/1909","BA",123,312,180,0,"42.30"
